"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","UploadFileWithCorrectUsersDataTest","Validate upload file with correct users data","0","0","1","0","0"
"","DeleteByMissedRequiredFieldTest","Validate delete user without using required fields","0","0","1","0","0"
"","GetAllUsersByOlderThanParameterTest","Validate getting users by parameter Older than","0","0","1","0","0"
"","GetAllUsersByYoungerThanParameterTest","Validate getting users by parameter Younger than","0","0","1","0","0"
"","UpdateUserByIncorrectRequestBodyTest","Validate updating user by incorrect body request","0","0","2","0","0"
"","GetAvailableZipCodesTest","Validate get all available zip codes from the app","0","0","1","0","0"
"","AddUserWithIncorrectNameAndSexTest","Validate add user with incorrect Name and Sex","0","0","1","0","0"
"","AddCorrectUserTest","Validate add user with correct data","0","0","1","0","0"
"","GetAllUsersBySexParameterTest","Validate getting users by parameter Sex equal to","0","0","1","0","0"
"","AddUserWithIncorrectZipCodeTest","Validate add user with incorrect zip code","0","0","1","0","0"
"","UpdateUserByIncorrectZipCodeTest","Validate updating user by incorrect zip code","0","0","2","0","0"
"","GetAllUsersTest","Validate getting all existing users from the app","0","0","1","0","0"
"","UpdateUserTest","Validate updating user by correct data","0","0","2","0","0"
"","ExpandAvailableZipCodesTest","Validate adding incorrect zip code to the app","0","0","1","0","0"
"","UploadFileWithMissedRequiredFieldTest","Validate upload file with missed required fields for some user","0","0","1","0","0"
"","DeleteByRequiredFieldsOnlyTest","Validate delete user using required fields only","0","0","1","0","0"
"","DeleteUser","Validate delete user","0","0","1","0","0"
"","UploadFileWithIncorrectZipCodeForUserTest","Validate upload file with incorrect zip code for some user","0","0","1","0","0"
"","ExpandAvailableZipCodesTest","Validate adding correct zip code to the app","0","0","1","0","0"
